EqpList,FmsList,DataType,DefaultValue
Recipe_Item154,Chamber2_Step09_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item155,Chamber2_Step09_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item156,Chamber2_Step09_Pusher_End_Position_SV,UInt16,0
Recipe_Item157,Chamber2_Step10_Vacuum_Pressure_SV,UInt16,0
Recipe_Item158,Chamber2_Step10_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item159,Chamber2_Step10_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item160,Chamber2_Step10_Pusher_Count_SV,UInt16,0
Recipe_Item161,Chamber2_Step10_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item162,Chamber2_Step10_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item163,Chamber2_Step10_Pusher_End_Position_SV,UInt16,0
Recipe_Item164,Chamber1_Step01_Vent_Holding_Time_SV,UInt16,5
Recipe_Item165,Chamber1_Step01_Vent_Valve_Position_SV,UInt16,600
Recipe_Item166,Chamber1_Step01_Vent_Pressure_SV,UInt16,500
Recipe_Item167,Chamber1_Step02_Vent_Holding_Time,UInt16,5
Recipe_Item168,Chamber1_Step02_Vent_Valve_Position_SV,UInt16,700
Recipe_Item169,Chamber1_Step02_Vent_Target_Pressure_SV,UInt16,2500
Recipe_Item170,Chamber1_Step03_Vent_Holding_Time,UInt16,5
Recipe_Item171,Chamber1_Step03_Vent_Valve_Position_SV,UInt16,800
Recipe_Item172,Chamber1_Step03_Vent_Target_Pressure_SV,UInt16,4500
Recipe_Item173,Chamber1_Step04_Vent_Holding_Time,UInt16,5
Recipe_Item174,Chamber1_Step04_Vent_Valve_Position_SV,UInt16,1000
Recipe_Item175,Chamber1_Step04_Vent_Target_Pressure_SV,UInt16,7500
Recipe_Item176,Chamber1_Step05_Vent_Holding_Time,UInt16,0
Recipe_Item177,Chamber1_Step05_Vent_Valve_Position_SV,UInt16,0
Recipe_Item178,Chamber1_Step05_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item179,Chamber1_Step06_Vent_Holding_Time,UInt16,0
Recipe_Item180,Chamber1_Step06_Vent_Valve_Position_SV,UInt16,0
Recipe_Item181,Chamber1_Step06_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item182,Chamber1_Step07_Vent_Holding_Time,UInt16,0
Recipe_Item183,Chamber1_Step07_Vent_Valve_Position_SV,UInt16,0
Recipe_Item184,Chamber1_Step07_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item185,Chamber1_Step08_Vent_Holding_Time,UInt16,0
Recipe_Item186,Chamber1_Step08_Vent_Valve_Position_SV,UInt16,0
Recipe_Item187,Chamber1_Step08_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item188,Chamber1_Step09_Vent_Holding_Time,UInt16,0
Recipe_Item189,Chamber1_Step09_Vent_Valve_Position_SV,UInt16,0
Recipe_Item190,Chamber1_Step09_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item191,Chamber1_Step10_Vent_Holding_Time,UInt16,0
Recipe_Item192,Chamber1_Step10_Vent_Valve_Position_SV,UInt16,0
Recipe_Item193,Chamber1_Step10_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item194,Chamber2_Step01_Vent_Holding_Time_SV,UInt16,5
Recipe_Item195,Chamber2_Step01_Vent_Valve_Position_SV,UInt16,600
Recipe_Item196,Chamber2_Step01_Vent_Pressure_SV,UInt16,500
Recipe_Item197,Chamber2_Step02_Vent_Holding_Time,UInt16,5
Recipe_Item198,Chamber2_Step02_Vent_Valve_Position_SV,UInt16,700
Recipe_Item199,Chamber2_Step02_Vent_Target_Pressure_SV,UInt16,2500
Recipe_Item200,Chamber2_Step03_Vent_Holding_Time,UInt16,5
Recipe_Item201,Chamber2_Step03_Vent_Valve_Position_SV,UInt16,800
Recipe_Item202,Chamber2_Step03_Vent_Target_Pressure_SV,UInt16,4500
Recipe_Item203,Chamber2_Step04_Vent_Holding_Time,UInt16,5
Recipe_Item204,Chamber2_Step04_Vent_Valve_Position_SV,UInt16,1000
Recipe_Item205,Chamber2_Step04_Vent_Target_Pressure_SV,UInt16,7500
Recipe_Item206,Chamber2_Step05_Vent_Holding_Time,UInt16,0
Recipe_Item207,Chamber2_Step05_Vent_Valve_Position_SV,UInt16,0
Recipe_Item208,Chamber2_Step05_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item209,Chamber2_Step06_Vent_Holding_Time,UInt16,0
Recipe_Item210,Chamber2_Step06_Vent_Valve_Position_SV,UInt16,0
Recipe_Item211,Chamber2_Step06_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item212,Chamber2_Step07_Vent_Holding_Time,UInt16,0
Recipe_Item213,Chamber2_Step07_Vent_Valve_Position_SV,UInt16,0
Recipe_Item214,Chamber2_Step07_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item215,Chamber2_Step08_Vent_Holding_Time,UInt16,0
Recipe_Item216,Chamber2_Step08_Vent_Valve_Position_SV,UInt16,0
Recipe_Item217,Chamber2_Step08_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item218,Chamber2_Step09_Vent_Holding_Time,UInt16,0
Recipe_Item219,Chamber2_Step09_Vent_Valve_Position_SV,UInt16,0
Recipe_Item220,Chamber2_Step09_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item221,Chamber2_Step10_Vent_Holding_Time,UInt16,0
Recipe_Item222,Chamber2_Step10_Vent_Valve_Position_SV,UInt16,0
Recipe_Item223,Chamber2_Step10_Vent_Target_Pressure_SV,UInt16,0
Recipe_Item224,Chamber1_Step01_Throttle_Valve_Lead_Time_SV,UInt16,50
Recipe_Item225,Chamber1_Step01_Throttle_Valve_Gain_Value_SV,UInt16,168
Recipe_Item226,Chamber1_Step02_Throttle_Valve_Lead_Time_SV,UInt16,7
Recipe_Item227,Chamber1_Step02_Throttle_Valve_Gain_Value_SV,UInt16,200
Recipe_Item228,Chamber1_Step03_Throttle_Valve_Lead_Time_SV,UInt16,18
Recipe_Item229,Chamber1_Step03_Throttle_Valve_Gain_Value_SV,UInt16,200
Recipe_Item230,Chamber1_Step04_Throttle_Valve_Lead_Time_SV,UInt16,18
Recipe_Item231,Chamber1_Step04_Throttle_Valve_Gain_Value_SV,UInt16,215
Recipe_Item232,Chamber1_Step05_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item233,Chamber1_Step05_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item234,Chamber1_Step06_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item235,Chamber1_Step06_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item236,Chamber1_Step07_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item237,Chamber1_Step07_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item238,Chamber1_Step08_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item239,Chamber1_Step08_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item240,Chamber1_Step09_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item241,Chamber1_Step09_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item242,Chamber1_Step10_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item243,Chamber1_Step10_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item244,Chamber2_Step01_Throttle_Valve_Lead_Time_SV,UInt16,50
Recipe_Item245,Chamber2_Step01_Throttle_Valve_Gain_Value_SV,UInt16,168
Recipe_Item246,Chamber2_Step02_Throttle_Valve_Lead_Time_SV,UInt16,7
Recipe_Item247,Chamber2_Step02_Throttle_Valve_Gain_Value_SV,UInt16,200
Recipe_Item248,Chamber2_Step03_Throttle_Valve_Lead_Time_SV,UInt16,18
Recipe_Item249,Chamber2_Step03_Throttle_Valve_Gain_Value_SV,UInt16,200
Recipe_Item250,Chamber2_Step04_Throttle_Valve_Lead_Time_SV,UInt16,18
Recipe_Item251,Chamber2_Step04_Throttle_Valve_Gain_Value_SV,UInt16,215
Recipe_Item252,Chamber2_Step05_Throttle_Valve_Lead_Time_SV,UInt16,0
